Team,Season,Games Played,Wins,Losses,Overtime Losses,Points,Point Percentage,Goals For,Goals Against,Total Players,Average Age,Cap Space,Total Cap,Long0term IR,Active,Injured
Chicago Blackhawks,2017,82.0,33.0,39.0,10.0,76.0,0.463,228.0,254.0,53,26.1,1458092,73541908,0.0,56868412,6000000.0
Detroit Red Wings,2017,82.0,30.0,39.0,13.0,73.0,0.445,212.0,254.0,53,28.9,4127951,70872049,0.0,61970836,0.0
Nashville Predators,2017,82.0,53.0,18.0,11.0,117.0,0.713,261.0,204.0,51,27.5,10659005,64340995,0.0,60606782,0.0
St. Louis Blues,2017,82.0,44.0,32.0,6.0,94.0,0.573,223.0,222.0,51,26.8,3756032,71243968,0.0,60013835,6200000.0
Calgary Flames,2017,82.0,37.0,35.0,10.0,84.0,0.512,216.0,243.0,57,27.3,1202571,73797429,0.0,69598599,276105.0
Colorado Avalanche,2017,82.0,43.0,30.0,9.0,95.0,0.579,255.0,236.0,52,25.1,604974,74395026,0.0,67037571,0.0
Edmonton Oilers,2017,82.0,36.0,40.0,6.0,78.0,0.476,229.0,262.0,57,25.6,11689787,63310213,0.0,56801891,0.0
Vancouver Canucks,2017,82.0,31.0,40.0,11.0,73.0,0.445,218.0,259.0,54,27.2,1903705,73096295,0.0,60546716,7575000.0
Anaheim Ducks,2017,82.0,44.0,25.0,13.0,101.0,0.616,231.0,209.0,60,27.7,324635,74675365,0.0,61410557,10150000.0
Dallas Stars,2017,82.0,42.0,32.0,8.0,92.0,0.561,231.0,222.0,46,27.0,275929,74724071,0.0,66516689,4750000.0
Los Angeles Kings,2017,82.0,45.0,29.0,8.0,98.0,0.598,237.0,202.0,57,27.5,2460685,72539315,0.0,70150181,0.0
San Jose Sharks,2017,82.0,45.0,27.0,10.0,100.0,0.61,247.0,226.0,52,27.5,1030882,73969118,0.0,65334175,8000000.0
Columbus Blue Jackets,2017,82.0,45.0,30.0,7.0,97.0,0.591,236.0,226.0,55,26.1,241617,74758383,0.0,68443906,0.0
Minnesota Wild,2017,82.0,45.0,26.0,11.0,101.0,0.616,250.0,229.0,53,27.0,336765,75336765,0.0,66826453,5187500.0
Winnipeg Jets,2017,82.0,52.0,20.0,10.0,114.0,0.695,273.0,216.0,49,25.9,280149,74719851,0.0,70998354,0.0
Arizona Coyotes,2017,82.0,29.0,41.0,12.0,70.0,0.427,206.0,251.0,61,25.4,17527448,57472552,0.0,44164318,5500000.0
Vegas Golden Knights,2017,82.0,51.0,24.0,7.0,109.0,0.665,268.0,225.0,53,26.7,41028,75041028,0.0,53368466,14242720.0
New Jersey Devils,2018,82.0,31.0,41.0,10.0,72.0,0.439,219.0,271.0,56,25.8,16812136,62687864,0.0,45219494,6000000.0
New York Islanders,2018,82.0,48.0,27.0,7.0,103.0,0.628,223.0,191.0,51,28.0,10809821,68690179,0.0,67868560,101355.0
New York Rangers,2018,82.0,32.0,36.0,14.0,78.0,0.476,221.0,267.0,52,25.0,5073251,74426749,0.0,58316262,0.0
Philadelphia Flyers,2018,82.0,37.0,37.0,8.0,82.0,0.5,241.0,280.0,59,25.7,8751608,70748392,0.0,55476268,2500000.0
Pittsburgh Penguins,2018,82.0,44.0,26.0,12.0,100.0,0.61,271.0,238.0,57,27.4,3032359,76467641,0.0,70101542,0.0
Boston Bruins,2018,82.0,49.0,24.0,9.0,107.0,0.652,257.0,212.0,56,27.9,1550369,77949631,0.0,65021542,6666666.0
Buffalo Sabres,2018,82.0,33.0,39.0,10.0,76.0,0.463,221.0,268.0,54,26.3,2853417,76646583,0.0,63570261,4000000.0
Montréal Canadiens,2018,82.0,44.0,30.0,8.0,96.0,0.585,246.0,236.0,54,26.6,7106371,72393629,0.0,62081265,0.0
Ottawa Senators,2018,82.0,29.0,47.0,6.0,64.0,0.39,242.0,301.0,62,26.0,9948356,69551644,0.0,38802095,9525000.0
Toronto Maple Leafs,2018,82.0,46.0,28.0,8.0,100.0,0.61,286.0,249.0,56,25.8,3628284,75871716,0.0,68260811,5300000.0
Carolina Hurricanes,2018,82.0,46.0,29.0,7.0,99.0,0.604,243.0,221.0,47,25.4,16786701,62713299,0.0,53842104,0.0
Florida Panthers,2018,82.0,36.0,32.0,14.0,86.0,0.524,264.0,273.0,54,26.6,2664956,76835044,0.0,65247296,1375000.0
Tampa Bay Lightning,2018,82.0,62.0,16.0,4.0,128.0,0.78,319.0,221.0,52,26.0,1263772,78236228,0.0,75655933,0.0
Washington Capitals,2018,82.0,48.0,26.0,8.0,104.0,0.634,274.0,248.0,54,27.5,1721768,81221768,0.0,79329293,0.0
Chicago Blackhawks,2018,82.0,36.0,34.0,12.0,84.0,0.512,267.0,291.0,53,27.0,5599988,73900012,0.0,68839485,0.0
Detroit Red Wings,2018,82.0,32.0,40.0,10.0,74.0,0.451,224.0,272.0,55,27.8,0,84660716,5160716.0,57189653,3166667.0
Nashville Predators,2018,82.0,47.0,29.0,6.0,100.0,0.61,236.0,212.0,55,27.6,11606215,67893785,0.0,64075602,650000.0
St. Louis Blues,2018,82.0,45.0,28.0,9.0,99.0,0.604,244.0,220.0,50,27.1,574099,80074099,0.0,77365010,0.0
Calgary Flames,2018,82.0,50.0,25.0,7.0,107.0,0.652,289.0,223.0,49,25.9,1115461,78384539,0.0,72113039,3500000.0
Colorado Avalanche,2018,82.0,38.0,30.0,14.0,90.0,0.549,258.0,244.0,53,26.2,733862,78766138,0.0,74079962,810880.0
Edmonton Oilers,2018,82.0,35.0,38.0,9.0,79.0,0.482,229.0,271.0,62,26.7,2234363,81734363,0.0,68867101,671355.0
Vancouver Canucks,2018,82.0,35.0,36.0,11.0,81.0,0.494,219.0,248.0,58,25.3,7579472,71920528,0.0,54272252,7025000.0
Anaheim Ducks,2018,82.0,35.0,37.0,10.0,80.0,0.488,196.0,248.0,63,27.0,707954,78792046,0.0,61590430,1100853.0
Dallas Stars,2018,82.0,43.0,32.0,7.0,93.0,0.567,209.0,200.0,53,27.6,0,83590982,4090982.0,66702895,2350000.0
Los Angeles Kings,2018,82.0,31.0,42.0,9.0,71.0,0.433,199.0,259.0,56,27.3,2566962,76933038,0.0,66234553,0.0
San Jose Sharks,2018,82.0,46.0,27.0,9.0,101.0,0.616,289.0,258.0,54,28.2,795756,80295756,0.0,77093945,0.0
Columbus Blue Jackets,2018,82.0,47.0,31.0,4.0,98.0,0.598,256.0,231.0,55,25.5,2754724,76745276,0.0,68468455,2825000.0
Minnesota Wild,2018,82.0,37.0,36.0,9.0,83.0,0.506,210.0,233.0,56,27.0,3589017,75910983,0.0,51166923,11500000.0
Winnipeg Jets,2018,82.0,47.0,30.0,5.0,99.0,0.604,270.0,243.0,54,26.3,3885008,75614992,0.0,73049440,0.0
Arizona Coyotes,2018,82.0,39.0,35.0,8.0,86.0,0.524,209.0,220.0,60,26.1,6093845,73406155,0.0,51685953,15946758.0
Vegas Golden Knights,2018,82.0,43.0,32.0,7.0,93.0,0.567,246.0,228.0,58,27.6,613413,78886587,0.0,61143175,13000000.0
New Jersey Devils,2019,69.0,28.0,29.0,12.0,68.0,0.493,185.0,224.0,57,25.0,18531965,62968035,0.0,51319994,0.0
New York Islanders,2019,68.0,35.0,23.0,10.0,80.0,0.588,189.0,190.0,52,28.3,4471651,85971651,0.0,85466466,0.0
New York Rangers,2019,70.0,37.0,28.0,5.0,79.0,0.564,233.0,220.0,66,25.4,4112282,77387718,0.0,69364866,700000.0
Philadelphia Flyers,2019,69.0,41.0,21.0,7.0,89.0,0.645,227.0,191.0,53,27.1,0,83579969,2079969.0,76276084,0.0
Pittsburgh Penguins,2019,69.0,40.0,23.0,6.0,86.0,0.623,221.0,196.0,57,27.5,3550602,85050602,0.0,84348782,0.0
Boston Bruins,2019,70.0,44.0,14.0,12.0,100.0,0.714,227.0,167.0,51,27.4,1714490,79785510,0.0,70479861,0.0
Buffalo Sabres,2019,69.0,30.0,31.0,8.0,68.0,0.493,193.0,215.0,54,26.1,0,82884775,1384775.0,69357980,0.0
Montréal Canadiens,2019,71.0,31.0,31.0,9.0,71.0,0.5,208.0,220.0,54,27.2,5394968,76105032,0.0,69449921,0.0
Ottawa Senators,2019,71.0,25.0,34.0,12.0,62.0,0.437,190.0,238.0,54,26.4,10983719,70516281,0.0,47740821,19125000.0
Toronto Maple Leafs,2019,70.0,36.0,25.0,9.0,81.0,0.579,237.0,222.0,57,25.8,0,96087597,14587597.0,78640843,0.0
Carolina Hurricanes,2019,68.0,38.0,25.0,5.0,81.0,0.596,217.0,193.0,50,26.3,8475808,89975808,0.0,75757644,4025000.0
Florida Panthers,2019,69.0,35.0,26.0,8.0,78.0,0.565,228.0,224.0,56,27.1,1525008,79974992,0.0,75928707,0.0
Tampa Bay Lightning,2019,70.0,43.0,21.0,6.0,92.0,0.657,243.0,194.0,53,27.2,504856,82004856,0.0,78162556,0.0
Washington Capitals,2019,69.0,41.0,20.0,8.0,90.0,0.652,236.0,212.0,50,28.5,586827,82086827,0.0,80985550,0.0
Chicago Blackhawks,2019,70.0,32.0,30.0,8.0,72.0,0.514,208.0,214.0,50,25.6,1757586,79742414,0.0,65503037,0.0
Detroit Red Wings,2019,71.0,17.0,49.0,5.0,39.0,0.275,142.0,265.0,55,27.9,3440188,78059812,0.0,51892278,6722033.0
Nashville Predators,2019,69.0,35.0,26.0,8.0,78.0,0.565,212.0,214.0,50,28.4,2306778,79193222,0.0,78252664,0.0
St. Louis Blues,2019,71.0,42.0,19.0,10.0,94.0,0.662,223.0,190.0,50,26.8,0,84605837,3105837.0,80579418,0.0
Calgary Flames,2019,70.0,36.0,27.0,7.0,79.0,0.564,204.0,214.0,51,26.8,4128968,77371032,0.0,73181793,0.0
Colorado Avalanche,2019,70.0,42.0,20.0,8.0,92.0,0.657,236.0,190.0,51,26.4,2448458,79051542,0.0,71689044,2600000.0
Edmonton Oilers,2019,71.0,37.0,25.0,9.0,83.0,0.585,223.0,215.0,59,27.0,14823,81485177,0.0,73941027,0.0
Vancouver Canucks,2019,69.0,36.0,27.0,6.0,78.0,0.565,224.0,214.0,54,26.9,0,86542925,5042925.0,77865618,0.0
Anaheim Ducks,2019,71.0,29.0,33.0,9.0,67.0,0.472,182.0,225.0,60,27.7,1220548,80279452,0.0,61955081,14025000.0
Dallas Stars,2019,69.0,37.0,24.0,8.0,82.0,0.594,178.0,174.0,52,29.0,387077,81112923,0.0,74272374,750000.0
Los Angeles Kings,2019,70.0,29.0,35.0,6.0,64.0,0.457,177.0,209.0,56,26.5,16193586,65306414,0.0,53632029,0.0
San Jose Sharks,2019,70.0,29.0,36.0,5.0,63.0,0.45,180.0,225.0,58,26.8,3233369,78266631,0.0,56161972,12300000.0
Columbus Blue Jackets,2019,70.0,33.0,22.0,15.0,81.0,0.579,180.0,183.0,52,25.3,3866239,77633761,0.0,63946537,10200000.0
Minnesota Wild,2019,69.0,35.0,27.0,7.0,77.0,0.558,218.0,217.0,52,28.2,3364004,78135996,0.0,75903589,0.0
Winnipeg Jets,2019,71.0,37.0,28.0,6.0,80.0,0.563,213.0,201.0,48,26.4,665939,80834061,0.0,74165526,5291000.0
Arizona Coyotes,2019,70.0,33.0,29.0,8.0,74.0,0.529,190.0,183.0,51,27.1,0,85537609,4037609.0,75455496,0.0
Vegas Golden Knights,2019,71.0,39.0,24.0,8.0,86.0,0.606,224.0,209.0,53,28.6,1805835,83305835,0.0,81247866,0.0
New Jersey Devils,2020,56.0,19.0,30.0,7.0,45.0,0.402,145.0,189.0,52,24.4,19245727,62254273,0.0,52694166,0.0
New York Islanders,2020,56.0,32.0,17.0,7.0,71.0,0.634,152.0,125.0,50,28.5,0,94357016,12857016.0,74181812,0.0
New York Rangers,2020,56.0,27.0,23.0,6.0,60.0,0.536,176.0,155.0,63,25.0,2470853,83970853,0.0,66989403,0.0
Philadelphia Flyers,2020,56.0,25.0,23.0,8.0,58.0,0.518,160.0,197.0,52,26.1,2650133,78849867,0.0,72281363,863333.0
Pittsburgh Penguins,2020,56.0,37.0,16.0,3.0,77.0,0.688,193.0,155.0,52,27.3,0,86230602,4730602.0,78513908,0.0
Boston Bruins,2020,56.0,33.0,16.0,7.0,73.0,0.652,164.0,134.0,47,27.5,745943,82245943,0.0,77124169,2750000.0
Buffalo Sabres,2020,56.0,15.0,34.0,7.0,37.0,0.33,134.0,196.0,50,25.8,8821589,72678411,0.0,50817798,12850000.0
Montréal Canadiens,2020,56.0,24.0,21.0,11.0,59.0,0.527,158.0,165.0,46,27.5,0,85568698,4068698.0,76630000,0.0
Ottawa Senators,2020,56.0,23.0,28.0,5.0,51.0,0.455,155.0,189.0,51,24.4,15145362,66354638,0.0,52700070,8497882.0
Toronto Maple Leafs,2020,56.0,35.0,14.0,7.0,77.0,0.688,186.0,148.0,52,27.9,0,84094786,2594786.0,77238147,0.0
Carolina Hurricanes,2020,56.0,36.0,12.0,8.0,80.0,0.714,175.0,134.0,50,26.2,3931672,77568328,0.0,75210859,0.0
Florida Panthers,2020,56.0,37.0,14.0,5.0,79.0,0.705,188.0,151.0,50,25.8,756897,80743103,0.0,72249440,0.0
Tampa Bay Lightning,2020,56.0,36.0,17.0,3.0,75.0,0.67,180.0,145.0,50,26.7,0,99878996,18378996.0,73114265,0.0
Washington Capitals,2020,56.0,36.0,15.0,5.0,77.0,0.688,188.0,161.0,48,30.5,0,86726259,5226259.0,81413849,0.0
Chicago Blackhawks,2020,56.0,24.0,25.0,7.0,55.0,0.491,159.0,184.0,48,24.8,0,84953294,3453294.0,55417281,950000.0
Detroit Red Wings,2020,56.0,19.0,27.0,10.0,48.0,0.429,125.0,168.0,53,28.2,7774832,73725168,0.0,53374595,13887525.0
Nashville Predators,2020,56.0,31.0,23.0,2.0,64.0,0.571,151.0,154.0,52,26.8,2020657,83520657,0.0,78653744,2800000.0
St. Louis Blues,2020,56.0,27.0,20.0,9.0,63.0,0.563,167.0,167.0,40,26.9,0,89841278,8341278.0,78975810,0.0
Calgary Flames,2020,56.0,26.0,27.0,3.0,55.0,0.491,155.0,160.0,47,27.4,3602772,77897228,0.0,73296981,0.0
Colorado Avalanche,2020,56.0,39.0,13.0,4.0,82.0,0.732,197.0,132.0,46,26.3,0,84981081,3481081.0,68826130,6313506.0
Edmonton Oilers,2020,56.0,35.0,19.0,2.0,72.0,0.643,183.0,154.0,48,27.1,0,85623396,4123396.0,71072189,0.0
Vancouver Canucks,2020,56.0,23.0,29.0,4.0,50.0,0.446,148.0,187.0,45,26.0,0,82244869,744869.0,62664568,0.0
Anaheim Ducks,2020,56.0,17.0,30.0,9.0,43.0,0.384,124.0,177.0,53,27.8,0,87017407,5517407.0,62004904,1700000.0
Dallas Stars,2020,56.0,23.0,19.0,14.0,60.0,0.536,156.0,148.0,41,27.9,0,83355887,1855887.0,67363680,6250000.0
Los Angeles Kings,2020,56.0,21.0,28.0,7.0,49.0,0.438,142.0,169.0,48,25.5,10356790,71143210,0.0,56080179,0.0
San Jose Sharks,2020,56.0,21.0,28.0,7.0,49.0,0.438,146.0,196.0,53,26.1,1603978,79896022,0.0,75452965,700000.0
Columbus Blue Jackets,2020,56.0,18.0,26.0,12.0,48.0,0.429,134.0,184.0,47,25.7,7664882,73835118,0.0,46520509,14250000.0
Minnesota Wild,2020,56.0,35.0,16.0,5.0,75.0,0.67,180.0,159.0,44,28.5,411588,81088412,0.0,77654006,0.0
Winnipeg Jets,2020,56.0,30.0,23.0,3.0,63.0,0.563,170.0,152.0,42,27.2,0,85649783,4149783.0,76664179,0.0
Arizona Coyotes,2020,56.0,24.0,26.0,6.0,54.0,0.482,150.0,174.0,48,27.2,1742622,79757378,0.0,72534733,284504.0
Vegas Golden Knights,2020,56.0,40.0,14.0,2.0,82.0,0.732,190.0,122.0,50,27.4,0,82796287,1296287.0,78169027,0.0
New Jersey Devils,2021,82.0,27.0,46.0,9.0,63.0,0.384,245.0,302.0,53,24.5,7922575,73577425,0.0,64392453,4125000.0
New York Islanders,2021,82.0,37.0,35.0,10.0,84.0,0.512,229.0,231.0,50,28.9,2230646,79269354,0.0,74872087,0.0
New York Rangers,2021,82.0,52.0,24.0,6.0,110.0,0.671,250.0,204.0,60,26.0,949595,82449595,0.0,74840648,1500000.0
Philadelphia Flyers,2021,82.0,25.0,46.0,11.0,61.0,0.372,210.0,294.0,61,26.1,2821973,78678027,0.0,60395000,1550000.0
Pittsburgh Penguins,2021,82.0,46.0,25.0,11.0,103.0,0.628,269.0,222.0,51,29.0,0,83951743,2451743.0,80973927,0.0
Boston Bruins,2021,82.0,51.0,26.0,5.0,107.0,0.652,253.0,218.0,49,27.5,150744,81650744,0.0,78225715,3327778.0
Buffalo Sabres,2021,82.0,32.0,39.0,11.0,75.0,0.457,229.0,287.0,52,26.2,15505378,65994622,0.0,56390223,1374750.0
Montréal Canadiens,2021,82.0,22.0,49.0,11.0,55.0,0.335,218.0,317.0,58,26.5,0,85674744,4174744.0,62396773,950000.0
Ottawa Senators,2021,82.0,33.0,42.0,7.0,73.0,0.445,224.0,264.0,55,25.0,9855166,71644834,0.0,52495702,12825000.0
Toronto Maple Leafs,2021,82.0,54.0,21.0,7.0,115.0,0.701,312.0,252.0,59,28.1,0,90013798,8513798.0,85882681,0.0
Carolina Hurricanes,2021,82.0,54.0,20.0,8.0,116.0,0.707,277.0,200.0,54,27.0,0,87484917,5984917.0,80493341,0.0
Florida Panthers,2021,82.0,58.0,18.0,6.0,122.0,0.744,337.0,242.0,52,26.6,0,85763824,4263824.0,68597736,0.0
Tampa Bay Lightning,2021,82.0,51.0,23.0,8.0,110.0,0.671,285.0,228.0,57,27.9,0,90005525,8505525.0,80591738,900000.0
Washington Capitals,2021,82.0,44.0,26.0,12.0,100.0,0.61,270.0,242.0,48,29.4,0,85880933,4380933.0,80262083,0.0
Chicago Blackhawks,2021,82.0,28.0,42.0,12.0,68.0,0.415,213.0,289.0,52,25.7,316438,81183562,0.0,62798744,0.0
Detroit Red Wings,2021,82.0,32.0,40.0,10.0,74.0,0.451,227.0,310.0,54,26.2,11942313,69557687,0.0,52106773,4500000.0
Nashville Predators,2021,82.0,45.0,30.0,7.0,97.0,0.591,262.0,250.0,49,26.2,9846094,71653906,0.0,66482920,0.0
St. Louis Blues,2021,82.0,49.0,22.0,11.0,109.0,0.665,309.0,239.0,52,27.2,0,81790162,290162.0,79170125,0.0
Calgary Flames,2021,82.0,50.0,21.0,11.0,111.0,0.677,291.0,206.0,52,27.8,0,84765843,3265843.0,76114239,0.0
Colorado Avalanche,2021,82.0,56.0,19.0,7.0,119.0,0.726,308.0,232.0,51,26.9,0,83501771,2001771.0,76635977,2050000.0
Edmonton Oilers,2021,82.0,49.0,27.0,6.0,104.0,0.634,285.0,251.0,49,29.1,0,88251373,6751373.0,69823771,5600000.0
Vancouver Canucks,2021,82.0,40.0,30.0,12.0,92.0,0.561,246.0,231.0,52,27.0,0,85059198,3559198.0,71220035,891667.0
Anaheim Ducks,2021,82.0,31.0,37.0,14.0,76.0,0.463,228.0,266.0,55,26.6,21194545,60305455,0.0,42942439,6545000.0
Dallas Stars,2021,82.0,46.0,30.0,6.0,98.0,0.598,233.0,244.0,52,28.1,0,85912802,4412802.0,75866643,0.0
Los Angeles Kings,2021,82.0,44.0,27.0,11.0,99.0,0.604,235.0,232.0,56,25.8,0,84242143,2742143.0,62928640,1550000.0
San Jose Sharks,2021,82.0,32.0,37.0,13.0,77.0,0.47,211.0,261.0,58,26.4,5207133,76292867,0.0,63282103,8621667.0
Columbus Blue Jackets,2021,82.0,37.0,38.0,7.0,81.0,0.494,258.0,297.0,47,25.0,12066310,69433690,0.0,57767918,6015875.0
Minnesota Wild,2021,82.0,53.0,22.0,7.0,113.0,0.689,305.0,249.0,55,28.3,1830618,83330618,0.0,75531716,0.0
Winnipeg Jets,2021,82.0,39.0,32.0,11.0,89.0,0.543,250.0,253.0,45,26.9,816977,80683023,0.0,78261273,0.0
Arizona Coyotes,2021,82.0,25.0,50.0,7.0,57.0,0.348,206.0,309.0,57,26.6,4087556,85587556,0.0,64541991,16216000.0
Vegas Golden Knights,2021,82.0,43.0,31.0,8.0,94.0,0.573,262.0,244.0,54,28.0,0,91988359,10488359.0,79951250,0.0
Seattle Kraken,2021,82.0,27.0,49.0,6.0,60.0,0.366,213.0,284.0,44,26.7,9726225,71773775,0.0,62396775,3500000.0
New Jersey Devils,2022,82.0,52.0,22.0,8.0,112.0,0.683,289.0,222.0,56,25.5,0,83608068,1108068.0,73605361,0.0
New York Islanders,2022,82.0,42.0,31.0,9.0,93.0,0.567,242.0,217.0,51,28.6,1158901,81095304,0.0,76217078,894167.0
New York Rangers,2022,82.0,47.0,22.0,13.0,107.0,0.652,273.0,216.0,60,26.9,946494,83446494,0.0,76863507,0.0
Philadelphia Flyers,2022,82.0,31.0,38.0,13.0,75.0,0.457,220.0,276.0,53,26.5,0,86618092,4413092.0,58224362,19358648.0
Pittsburgh Penguins,2022,82.0,40.0,31.0,11.0,91.0,0.555,261.0,263.0,50,29.7,362373,82137627,0.0,74404220,0.0
Boston Bruins,2022,82.0,65.0,12.0,5.0,135.0,0.823,301.0,174.0,54,28.3,0,85604066,3104066.0,72574127,0.0
Buffalo Sabres,2022,82.0,42.0,33.0,7.0,91.0,0.555,293.0,297.0,51,25.3,17234402,65265598,0.0,58374346,4916667.0
Montréal Canadiens,2022,82.0,31.0,45.0,6.0,68.0,0.415,227.0,305.0,56,26.7,0,95496168,14128668.0,65190087,2659166.0
Ottawa Senators,2022,82.0,39.0,35.0,8.0,86.0,0.524,259.0,270.0,58,26.6,3258285,79241715,0.0,57417971,10700000.0
Toronto Maple Leafs,2022,82.0,50.0,21.0,11.0,111.0,0.677,278.0,220.0,59,28.5,0,88921452,6633952.0,76191282,0.0
Carolina Hurricanes,2022,82.0,52.0,21.0,9.0,113.0,0.689,262.0,210.0,50,28.5,0,89882029,7494529.0,68572187,1500000.0
Florida Panthers,2022,82.0,42.0,32.0,8.0,92.0,0.561,288.0,272.0,54,27.5,5577109,87439609,0.0,68864189,9725000.0
Tampa Bay Lightning,2022,82.0,46.0,30.0,6.0,98.0,0.598,280.0,252.0,53,28.5,0,89814975,7314975.0,77739155,0.0
Washington Capitals,2022,82.0,35.0,37.0,10.0,80.0,0.488,253.0,261.0,52,29.8,0,90158972,7758972.0,72173630,0.0
Chicago Blackhawks,2022,82.0,26.0,49.0,7.0,59.0,0.36,202.0,299.0,60,27.4,338149,81924351,0.0,57296261,0.0
Detroit Red Wings,2022,82.0,35.0,37.0,10.0,80.0,0.488,237.0,275.0,55,26.2,7778406,74721594,0.0,51132795,2310000.0
Nashville Predators,2022,82.0,42.0,32.0,8.0,92.0,0.561,223.0,236.0,58,26.5,1129612,81370388,0.0,56153141,9400000.0
St. Louis Blues,2022,82.0,37.0,38.0,7.0,81.0,0.494,260.0,298.0,54,27.6,663673,80736327,0.0,64861112,0.0
Calgary Flames,2022,82.0,38.0,27.0,17.0,93.0,0.567,258.0,247.0,51,28.6,90180,82590180,0.0,77003747,2500000.0
Colorado Avalanche,2022,82.0,51.0,24.0,7.0,109.0,0.665,274.0,223.0,53,28.5,0,84427462,1952462.0,73496507,987500.0
Edmonton Oilers,2022,82.0,50.0,23.0,9.0,109.0,0.665,325.0,256.0,51,27.5,0,90733951,9129951.0,71639029,0.0
Vancouver Canucks,2022,82.0,38.0,37.0,7.0,83.0,0.506,270.0,296.0,54,25.6,0,87584806,6334806.0,54227246,8760000.0
Anaheim Ducks,2022,82.0,23.0,47.0,12.0,58.0,0.354,206.0,335.0,60,26.5,10880203,71619797,0.0,55251365,5475000.0
Dallas Stars,2022,82.0,47.0,21.0,14.0,108.0,0.659,281.0,215.0,54,27.6,156992,81981992,0.0,77528863,0.0
Los Angeles Kings,2022,82.0,47.0,25.0,10.0,104.0,0.634,274.0,254.0,55,26.7,1661409,80201091,0.0,63555866,4254091.0
San Jose Sharks,2022,82.0,22.0,44.0,16.0,60.0,0.366,233.0,315.0,58,27.4,0,83514797,1014797.0,63391818,750000.0
Columbus Blue Jackets,2022,82.0,25.0,48.0,9.0,59.0,0.36,213.0,329.0,55,25.5,959553,81540447,0.0,50504788,3308333.0
Minnesota Wild,2022,82.0,46.0,25.0,11.0,103.0,0.628,239.0,219.0,58,28.3,385643,82114357,0.0,64362336,0.0
Winnipeg Jets,2022,82.0,46.0,33.0,3.0,95.0,0.579,246.0,224.0,51,27.7,764297,81735703,0.0,79837472,894167.0
Arizona Coyotes,2022,82.0,28.0,40.0,14.0,70.0,0.427,225.0,295.0,55,26.0,14946210,67553790,0.0,38101229,14830013.0
Vegas Golden Knights,2022,82.0,51.0,22.0,9.0,111.0,0.677,267.0,225.0,55,28.2,0,97162502,14662502.0,74449938,0.0
Seattle Kraken,2022,82.0,46.0,28.0,8.0,100.0,0.61,289.0,252.0,49,28.0,1478212,81021788,0.0,63161125,9598646.0
New Jersey Devils,2023,82.0,38.0,39.0,5.0,81.0,0.494,264.0,281.0,53,26.6,967489,82110011,0.0,63333887,1350000.0
New York Islanders,2023,82.0,39.0,27.0,16.0,94.0,0.573,245.0,258.0,48,28.6,0,85614819,2114819.0,80934373,0.0
New York Rangers,2023,82.0,55.0,23.0,4.0,114.0,0.695,278.0,226.0,51,27.6,0,89890158,7001050.0,81720455,0.0
Philadelphia Flyers,2023,82.0,38.0,33.0,11.0,87.0,0.53,231.0,258.0,55,27.4,4423655,86736155,0.0,61497500,11350000.0
Pittsburgh Penguins,2023,82.0,38.0,32.0,12.0,88.0,0.537,253.0,248.0,56,29.5,0,85318725,1818725.0,71763659,900000.0
Boston Bruins,2023,82.0,47.0,20.0,15.0,109.0,0.665,263.0,221.0,51,28.2,0,83708318,4708318.0,77464421,0.0
Buffalo Sabres,2023,82.0,39.0,37.0,6.0,84.0,0.512,244.0,243.0,51,25.0,10676071,72823929,0.0,66673872,4285714.0
Montréal Canadiens,2023,82.0,30.0,36.0,16.0,76.0,0.463,232.0,281.0,54,25.7,0,85368391,3038391.0,60982599,4125000.0
Ottawa Senators,2023,82.0,37.0,41.0,4.0,78.0,0.476,250.0,281.0,56,25.8,0,84430820,930820.0,67235133,0.0
Toronto Maple Leafs,2023,82.0,46.0,26.0,10.0,102.0,0.622,298.0,261.0,53,28.0,0,103038947,19538947.0,86161840,0.0
Carolina Hurricanes,2023,82.0,52.0,23.0,7.0,111.0,0.677,277.0,211.0,49,27.5,2309646,85359646,0.0,84274738,0.0
Florida Panthers,2023,82.0,52.0,24.0,6.0,110.0,0.671,265.0,198.0,52,28.2,4104795,87392295,0.0,81737990,0.0
Tampa Bay Lightning,2023,82.0,45.0,29.0,8.0,98.0,0.598,288.0,267.0,52,28.3,0,100368737,16868737.0,80918007,0.0
Washington Capitals,2023,82.0,40.0,31.0,11.0,91.0,0.555,216.0,252.0,47,28.2,1599360,81880640,0.0,62211874,0.0
Chicago Blackhawks,2023,82.0,23.0,53.0,6.0,52.0,0.317,178.0,289.0,54,27.3,12857222,70642778,0.0,51951617,6000000.0
Detroit Red Wings,2023,82.0,41.0,32.0,9.0,91.0,0.555,275.0,273.0,50,28.7,3205364,80294636,0.0,74167083,0.0
Nashville Predators,2023,82.0,47.0,30.0,5.0,99.0,0.604,266.0,248.0,59,28.6,511895,82988105,0.0,72737630,0.0
St. Louis Blues,2023,82.0,43.0,33.0,6.0,92.0,0.561,234.0,248.0,48,27.7,424046,83055954,0.0,80062194,0.0
Calgary Flames,2023,82.0,38.0,39.0,5.0,81.0,0.494,253.0,267.0,52,27.8,5764611,77735389,0.0,70591341,0.0
Colorado Avalanche,2023,82.0,50.0,25.0,7.0,107.0,0.652,302.0,252.0,53,28.5,0,91104968,8242468.0,77310604,1050000.0
Edmonton Oilers,2023,82.0,49.0,27.0,6.0,104.0,0.634,292.0,236.0,51,29.7,2268043,84918043,0.0,78017261,0.0
