Team,Season,Games Played,Wins,Losses,Overtime Losses,Points,Point Percentage,Goals For,Goals Against,Total Players,Average Age,Cap Space,Total Cap,Long0term IR,Active,Injured
Chicago Blackhawks,2012,48.0,36.0,7.0,5.0,77.0,0.802,149.0,97.0,46,26.2,1664226,71864226,0.0,71039226,825000.0
Detroit Red Wings,2012,48.0,24.0,16.0,8.0,56.0,0.583,122.0,110.0,52,28.0,7639623,62560377,0.0,62560377,0.0
Nashville Predators,2012,48.0,16.0,23.0,9.0,41.0,0.427,109.0,133.0,47,26.3,19776191,50423809,0.0,48623809,0.0
St. Louis Blues,2012,48.0,29.0,17.0,2.0,60.0,0.625,124.0,114.0,47,25.3,10065001,60134999,0.0,58634999,1500000.0
Calgary Flames,2012,48.0,19.0,25.0,4.0,42.0,0.438,128.0,157.0,29,27.6,12861113,57338887,0.0,53563887,3775000.0
Colorado Avalanche,2012,48.0,16.0,25.0,7.0,39.0,0.406,114.0,150.0,44,26.6,11718334,58481666,0.0,54981666,3500000.0
Edmonton Oilers,2012,48.0,19.0,22.0,7.0,45.0,0.469,123.0,131.0,51,26.2,12928000,57272000,0.0,48772000,7000000.0
Vancouver Canucks,2012,48.0,26.0,15.0,7.0,59.0,0.615,122.0,115.0,48,27.6,5773333,75973333,0.0,75973333,0.0
Anaheim Ducks,2012,48.0,30.0,12.0,6.0,66.0,0.688,134.0,115.0,49,27.1,3135834,67064166,0.0,67064166,0.0
Dallas Stars,2012,48.0,22.0,22.0,4.0,48.0,0.5,128.0,141.0,55,26.2,24544723,45655277,0.0,40896944,4500000.0
Los Angeles Kings,2012,48.0,27.0,16.0,5.0,59.0,0.615,131.0,114.0,47,26.5,4792274,65407726,0.0,65407726,0.0
San Jose Sharks,2012,48.0,25.0,16.0,7.0,57.0,0.594,116.0,112.0,44,27.5,6168333,64031667,0.0,62356667,1675000.0
Columbus Blue Jackets,2012,48.0,24.0,17.0,7.0,55.0,0.573,115.0,115.0,50,26.2,17542858,52657142,0.0,51115476,0.0
Minnesota Wild,2012,48.0,26.0,19.0,3.0,55.0,0.573,118.0,125.0,49,27.3,7598035,77798035,0.0,72248591,4080000.0
Winnipeg Jets,2012,48.0,24.0,21.0,3.0,51.0,0.531,126.0,141.0,42,26.1,12494756,57705244,0.0,56353951,1351293.0
New Jersey Devils,2013,82.0,35.0,29.0,18.0,88.0,0.537,197.0,195.0,61,30.1,721385,63578615,0.0,60230960,0.0
New York Islanders,2013,82.0,34.0,37.0,11.0,79.0,0.482,216.0,261.0,56,25.8,12617029,51682971,0.0,42107018,0.0
New York Rangers,2013,82.0,45.0,31.0,6.0,96.0,0.585,214.0,190.0,65,27.0,206372,64093628,0.0,57445193,0.0
Philadelphia Flyers,2013,82.0,42.0,30.0,10.0,94.0,0.573,233.0,227.0,59,27.9,2161613,66461613,0.0,61927057,0.0
Pittsburgh Penguins,2013,82.0,51.0,24.0,7.0,109.0,0.665,242.0,204.0,63,28.3,5261811,69561811,0.0,68707105,0.0
Boston Bruins,2013,82.0,54.0,19.0,9.0,117.0,0.713,258.0,171.0,54,27.6,3490362,67790362,0.0,67308559,0.0
Buffalo Sabres,2013,82.0,21.0,51.0,10.0,52.0,0.317,150.0,243.0,71,25.7,5601204,58698796,0.0,41989515,0.0
Montréal Canadiens,2013,82.0,46.0,28.0,8.0,100.0,0.61,209.0,201.0,69,28.1,760425,65060425,0.0,63308436,0.0
Ottawa Senators,2013,82.0,37.0,31.0,14.0,88.0,0.537,229.0,258.0,58,26.0,7801002,56498998,0.0,54428697,0.0
Toronto Maple Leafs,2013,82.0,38.0,36.0,8.0,84.0,0.512,222.0,252.0,73,26.8,1666280,65966280,0.0,59152757,0.0
Carolina Hurricanes,2013,82.0,36.0,35.0,11.0,83.0,0.506,205.0,226.0,65,27.2,557262,64857262,0.0,56357949,0.0
Florida Panthers,2013,82.0,29.0,45.0,8.0,66.0,0.402,188.0,262.0,67,27.3,13515791,50784209,0.0,38328796,0.0
Tampa Bay Lightning,2013,82.0,46.0,27.0,9.0,101.0,0.616,232.0,209.0,59,26.1,1365708,65665708,0.0,59195278,0.0
Washington Capitals,2013,82.0,38.0,30.0,14.0,90.0,0.549,225.0,229.0,59,27.0,626986,64926986,0.0,57902829,0.0
Chicago Blackhawks,2013,82.0,46.0,21.0,15.0,107.0,0.652,261.0,212.0,56,27.1,0,65536767,1236767.0,62638027,0.0
Detroit Red Wings,2013,82.0,39.0,28.0,15.0,93.0,0.567,217.0,221.0,66,28.3,5318888,69618888,0.0,65280300,0.0
Nashville Predators,2013,82.0,38.0,32.0,12.0,88.0,0.537,214.0,233.0,55,26.2,4856543,59443457,0.0,51798208,0.0
St. Louis Blues,2013,82.0,52.0,23.0,7.0,111.0,0.677,239.0,188.0,52,27.6,408845,64708845,0.0,58541140,0.0
Calgary Flames,2013,82.0,35.0,40.0,7.0,77.0,0.47,202.0,238.0,62,26.0,12429842,51870158,0.0,47729127,0.0
Colorado Avalanche,2013,82.0,52.0,22.0,8.0,112.0,0.683,245.0,216.0,54,26.9,11359847,52940153,0.0,50780184,0.0
Edmonton Oilers,2013,82.0,29.0,44.0,9.0,67.0,0.409,199.0,267.0,74,26.3,6568359,57731641,0.0,41550962,0.0
Vancouver Canucks,2013,82.0,36.0,35.0,11.0,83.0,0.506,191.0,216.0,63,26.7,5086142,59213858,0.0,58003062,0.0
Anaheim Ducks,2013,82.0,54.0,20.0,8.0,116.0,0.707,263.0,203.0,57,27.0,172254,64127746,0.0,55797102,0.0
Dallas Stars,2013,82.0,40.0,31.0,11.0,91.0,0.555,231.0,223.0,58,28.0,2692568,61607432,0.0,57596405,0.0
Los Angeles Kings,2013,82.0,46.0,28.0,8.0,100.0,0.61,198.0,168.0,52,27.1,91803,64391803,0.0,62247586,0.0
San Jose Sharks,2013,82.0,51.0,22.0,9.0,111.0,0.677,239.0,193.0,58,29.3,1847431,66147431,0.0,64639256,0.0
Columbus Blue Jackets,2013,82.0,43.0,32.0,7.0,93.0,0.567,226.0,214.0,65,26.4,660285,63639715,0.0,54924456,0.0
Minnesota Wild,2013,82.0,43.0,27.0,12.0,98.0,0.598,199.0,198.0,55,27.7,471577,63828423,0.0,58592231,0.0
